nama_obat,harga,deskripsi,aturan_pakai,stok
Hydrochlorothiazide (HCTZ),32000,Obat diuretik yang digunakan untuk mengobati hipertensi dan edema.,"Diminum sekali sehari, biasanya di pagi hari untuk menghindari sering buang air kecil di malam hari.",17
Simvastatin,3000,Obat statin yang digunakan untuk menurunkan kadar kolesterol darah dan mengurangi risiko penyakit jantung.,"Diminum sekali sehari, biasanya pada malam hari. Dapat diminum dengan atau tanpa makanan.",14
Rivaroxaban,510000,"Obat pengencer darah yang digunakan untuk mencegah pembekuan darah, stroke, dan emboli.",Dosis dan frekuensi penggunaan tergantung pada kondisi medis. Ikuti instruksi dokter dengan cermat.,44
Isosorbide Dinitrate,35000,Obat yang digunakan untuk mengobati angina dan meningkatkan suplai darah ke jantung.,"Diminum beberapa kali sehari, sesuai petunjuk dokter. Penting untuk mengikuti jadwal dosis yang tepat.",35
Apixaban,11000,Obat antikoagulan yang digunakan untuk mencegah pembekuan darah dan stroke.,"Diminum dua kali sehari, dengan atau tanpa makanan. Ikuti instruksi dokter mengenai dosis.",23
Aspilets,12000,Obat dengan kandungan aspirin atau asam asetilsalisilat. Aspirin merupakan senyawa analgesik non steroid yang memiliki banyak kegunaan. ,"Diminum sekali sehari, biasanya dengan makanan untuk mengurangi iritasi lambung.",11
Ivabradine,425000,Obat yang digunakan untuk mengobati gagal jantung dan angina dengan cara menurunkan denyut jantung.,"Diminum dua kali sehari, dengan makanan. Dosis harus disesuaikan oleh dokter.",20
Ticagrelor,127000,Obat antiplatelet yang digunakan untuk mencegah pembekuan darah setelah serangan jantung atau stroke.,"Diminum dua kali sehari, dengan atau tanpa makanan. Ikuti instruksi dokter mengenai dosis.",11
Ezetimibe,238000,Obat yang digunakan untuk menurunkan kadar kolesterol dengan cara mengurangi penyerapan kolesterol di saluran cerna.,"Diminum sekali sehari, dengan atau tanpa makanan. Dapat dikombinasikan dengan statin atau sebagai monoterapi.",25
Dabigatran,40000,Obat antikoagulan yang digunakan untuk mencegah pembekuan darah dan stroke.,"Diminum dua kali sehari, dengan atau tanpa makanan. Telan kapsul utuh tanpa dikunyah.",65
Verapamil,125000,"Obat  calcium channel blocker yang digunakan untuk mengobati hipertensi, angina, dan gangguan irama jantung.",Tersedia dalam bentuk sediaan dengan pelepasan berbeda. Ikuti instruksi dokter mengenai dosis dan frekuensi penggunaan.​,77
Empagliflozin,398000,Obat yang digunakan untuk mengobati diabetes tipe 2 dengan cara mengurangi kadar gula darah.,"Diminum sekali sehari, dengan atau tanpa makanan. Ikuti instruksi dokter mengenai dosis.",53
Dapagliflozin,375000,Obat yang digunakan untuk mengobati diabetes tipe 2 dan gagal jantung.,"Diminum sekali sehari, dengan atau tanpa makanan. Ikuti instruksi dokter mengenai dosis.",58
Alirocumab,40000,Obat biologis yang digunakan untuk menurunkan kadar kolesterol LDL (kolesterol jahat) pada pasien dengan hiperklesterolemia.,Disuntikkan secara subkutan setiap dua minggu atau sesuai instruksi dokter. Dosis harus disesuaikan oleh dokter.,15
Ramipril,119000,Obat golongan ACE inhibitor yang digunakan untuk mengobati hipertensi dan gagal jantung.,"Diminum sekali atau dua kali sehari, dengan atau tanpa makanan. Dosis awal biasanya 2,5 mg per hari.​",61
Vericiguat,2250000,Obat yang digunakan untuk mengobati gagal jantung kongestif dengan meningkatkan aliran darah ke jantung.,"Diminum sekali sehari, dengan makanan. Dosis harus disesuaikan oleh dokter.",22
